	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.93333333333	6.36666666667	6.83333333333	7.044444444444444
clmb	7.7	7.15	6.78333333333	7.211111111111111
Comebin	3.75	3.98333333333	4.35	4.027777777777778
concoct	9.98333333333	9.75	9.56666666667	9.766666666666667
maxbin2.2.7	2.0	2.71666666667	2.41666666667	2.3777777777777778
metabat2.15	4.43333333333	2.56666666667	2.51666666667	3.172222222222222
Metabinner	1.1	3.6	3.41666666667	2.7055555555555557
Metadecoder	6.1	7.26666666667	7.23333333333	6.866666666666667
Semibin2	4.03333333333	3.93333333333	4.48333333333	4.1499999999999995
vamb	7.96666666667	7.66666666667	7.4	7.677777777777777
